Brand/Product,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hazard_Code,Final_Hazard,Carcinogen,Allergen,Fragrance,Endocrine disruptor,Barcode
Nivea Soft,Aqua,Glycerin,Myristyl Alcohol,Alcohol Denat,Myristyl Myristate,Cetearyl Glucoside,Coco-Caprylate/​Caprate,Glyceryl Stearate,Palmitic Acid,Stearic Acid,Hydrogenated Coco-Glycerides,Simmondsia Chinensis Seed Oil,Tocopheryl Acetate,Prunus Amygdalus Dulcis Oil,Vegetable Oil,Cetyl Ricinoleate,Triisostearin,Sorbitan Stearate,Hydroxypropyl Starch Phosphate,Sodium Hydroxide,Cetearyl Alcohol,Gellan Gum,Xanthan Gum,Myristic Acid,Arachidic Acid,Oleic Acid,Lauric Acid,Disodium Cetearyl Sulfosuccinate,Phenoxyethanol,Linalool,Citronellol,Alpha- Isomethyl Ionone,Acetylcedrene,Citrus Aurantium Peel Oil,Limonene,Terpineol,Lavandula Oil,Extract,Linalyl Acetate,Parfum,"A, F",66%,,"Alcohol Denat, Linalool, Limonene, Citronellol, Phenoxyethanol",Parfum,,72140011796
Palmer's Palmers Cocoa Butter Formula Cream Tube,Water (Aqua),Theobroma Cacao (Cocoa) Extract,Petrolatum,Propylene Glycol Stearate,Cetyl Alcohol,Cocos Nucifera (Coconut) Oil,Propylene Glycol,Glyceryl Stearate,Glycerin,Mineral Oil (Paraffinum Liquidum),Theobroma Cacao (Cocoa) Seed Butter,Elaeis Guineensis (Palm) Oil,Dimethicone,Tocopherol,Helianthus Annuus (Sunflower) Seed Oil,Ascorbyl Palmitate,Retinyl Palmitate,Hydroxyethylcellulose,Behentrimonium Methosulfate,Stearalkonium Chloride,PEG-8 Stearate,Myristyl Alcohol,Butylene Glycol,Sodium Acetate,Fragrance (Parfum),Cellulose,Stearyl Alcohol,Phenoxyethanol,Ethylhexylglycerin,Yellow 5 (Ci 19140),Orange 4 (Ci 15510),Benzyl Alcohol,,,,,,,,,"A, F",66%,,"Propylene Glycol, Petrolatum, Mineral Oil, Phenoxyethanol, Benzyl Alcohol, Yellow 5 (CI 19140), Orange 4 (CI 15510)",Fragrance (Parfum),,10181040580
Nivea Cream,Aqua,Paraffinum Liquidum,Cera Microcristallina,Glycerin,Lanolin Alcohol (Eucerit ®),Paraffin,Panthenol,Magnesium Sulfate,Decyl Oleate,Octyldodecanol,Aluminum Stearates,Citric Acid,Magnesium Stearate,Sodium Anisate,Limonene,Geraniol,Hydroxycitronellal,Linalool,Citronellol,Benzyl Benzoate,Cinnamyl Alcohol,Parfum,,,,,,,,,,,,,,,,,,,"A, F",66%,,"Linalool, Limonene, Citronellol, Benzyl Benzoate, Hydroxycitronellal, Geraniol, Paraffinum Liquidum",Parfum,,72140846206
Nivea Sun Cream Care Uv Cream Spf50+ Pa++++ (Discontinued),Water,Ethylhexyl Methoxycinnamate,Zinc Oxide,Cyclopentasiloxane,Alcohol,Glyceryl Stearate,Propylene Glycol,Dimethicone,PEG-55 Stearate,Ethylhexyl Triazone,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Diethylamino Hydroxybenzoyl Hexyl Benzoate,Simmondsia Chinensis (Jojoba) Seed Oil,Squalane,Hydrogenated Polyisobutene,C12-13 Alkyl Glyceryl Hydrolyzed Hyaluronate,Cetyl Alcohol,PEG-10 Dimethicone,C13-14 Isoparaffin,Stearyl Alcohol,Methicone,Laureth-7,Dimethicone/​Vinyl Dimethicone Crosspolymer,Polyacrylamide,Fragrance,Tocopheryl Acetate,Disodium EDTA,BHT,Phenoxyethanol,Methylparaben,,,,,,,,,,,"A, E, F",33%,,"Alcohol, Phenoxyethanol, Dimethicone, Cyclopentasiloxane",Fragrance,"Methylparaben, BHT",
Nivea Sensitive Shaving Cream,Aqua,Potassium Palmitate,Potassium Stearate,Potassium Cocoate,Glycerin,Olea Europaea Fruit Oil,Parfum,Dimethicone,Maris Sal,Chamomilla Recutita Flower Extract,Hamamelis Virginiana Bark/​Leaf Extract,Maltodextrin,Cetearyl Alcohol,Sodium Palmitate,Sodium Stearate,Sodium Cocoate,Caprylic/​Capric Triglyceride,,,,,,,,,,,,,,,,,,,,,,,,F,,,,Parfum,,72140007805
Nivea Men Protect & Care Face Cream,Aqua,Glycerin,Ethylhexyl Cocoate,Cetyl Alcohol,Hydrogenated Coco-Glycerides,Isopropyl Palmitate,Distarch Phosphate,Glyceryl Stearate Citrate,Methylpropanediol,Myristyl Myristate,Panthenol,Aloe Barbadensis Leaf Juice Powder,Dimethicone,Carbomer,Sodium Hydroxide,Trisodium EDTA,1,2-Hexanediol,Phenoxyethanol,Benzyl Alcohol,Limonene,Linalool,Citronellol,Parfum,,,,,,,,,,,,,,,,,"A, F",66%,,"Phenoxyethanol, Benzyl Alcohol, Limonene, Linalool, Citronellol",Parfum,,72140011352
Nivea Hand Cream Smooth,Aqua,Glycerin,Cetearyl Alcohol,Cetyl Palmitate,Octyldodecanol,Myristyl Myristate,Palmitic Acid,Glyceryl Stearate SE,Stearic Acid,Butyrospermum Parkii Butter,Hydrogenated Coco-Glycerides,Arachidic Acid,Myristic Acid,Oleic Acid,Dimethicone,Sodium Carbomer,Phenoxyethanol,Ethylhexylglycerin,Trisodium EDTA,Linalool,Limonene,Citronellol,Benzyl Alcohol,Alpha-Isomethyl Ionone,Geraniol,Parfum,,,,,,,,,,,,,,,"A, F",66%,,"Phenoxyethanol, Benzyl Alcohol, Limonene, Linalool, Citronellol, Alpha-Isomethyl Ionone",Parfum,,72140068462
Nivea Hand Cream Intensive,Aqua,Glycerin,Glyceryl Stearate,Stearyl Alcohol,Dimethicone,Caprylic/​Capric Triglyceride,Distarch Phosphate,Butyrospermum Parkii Butter,Glyceryl Stearate SE,Hydrogenated Coco-Glycerides,Prunus Amygdalus Dulcis Oil,Sodium Cetearyl Sulfate,Xanthan Gum,Phenoxyethanol,Ethylhexylglycerin,Linalool,Limonene,Geraniol,Benzyl Alcohol,Citronellol,Alpha-Isomethyl Ionone,Parfum,,,,,,,,,,,,,,,,,,,"A, F",66%,,"Phenoxyethanol, Benzyl Alcohol, Linalool, Limonene, Geraniol, Citronellol, Linalool, Limonene, Geraniol, Citronellol, Alpha-Isomethyl Ionone
Alpha-Isomethyl Ionone",Parfum,,
Nivea Q10 Anti-Wrinkle+Firming Eye Cream,Aqua,Glycerin,Cyclomethicone,Methylpropanediol,Glyceryl Stearate,Dimethicone,Caprylic/​Capric Triglyceride,Cetearyl Alcohol,Octyldodecanol,C12-15 Alkyl Benzoate,Hydrogenated Vegetable Oil,Talc,Tapioca Starch,1,2-Hexanediol,Ubiquinone,Creatine,1-Methylhydantoin-2-Imide,Tocopheryl Acetate,Potassium Cetyl Phosphate,Cera Microcristallina,Paraffinum Liquidum,Hydrogenated Palm Glycerides,Acrylates/​C10-30 Alkyl Acrylate Crosspolymer,Carbomer,Ethylhexylglycerin,Trisodium EDTA,Sodium Hydroxide,Phenoxyethanol,BHT,Ci 77891,,,,,,,,,,A,66%,,"Paraffinum Liquidum
Phenoxyethanol
BHT
Cera Microcristallina

",,,
Nivea Soothing Night Cream,Aqua,Glycerin,Cetearyl Alcohol,Methylpropanediol,Butyrospermum Parkii Butter,Ethylhexyl Stearate,Dicaprylyl Ether,Glyceryl Stearate Citrate,Hydrogenated Coco-Glycerides,Cocoglycerides,Panthenol,Glycyrrhiza Inflata Root Extract,Vitis Vinifera Seed Oil,Glyceryl Glucoside,Ethylhexylglycerin,Caprylic/​Capric Triglyceride,Carbomer,Trisodium EDTA,Sodium Hydroxide,Phenoxyethanol,,,,,,,,,,,,,,,,,,,,,A,66%,,Phenoxyethanol,,,